ID	AGE	SEX	race	INCOME	highest degree	hours worked	job prestige	CHILDS	EARNRS
210	57	male	black	500	no HS diploma	40	28	2	2
727	44	female	white	500	HS diploma	40	21	1	4
1171	35	male	black	3500	HS diploma	40	45	3	2
1817	26	male	other	3500	no HS diploma	40	34	2	2
541	30	female	white	3500	HS diploma	44	29	1	2
1869	34	female	white	3500	HS diploma	48	47	3	4
1580	43	male	white	4500	no HS diploma	89	40	2	2
1833	59	male	white	4500	no HS diploma	60	40	2	2
684	29	male	white	5500	HS diploma	40	42	5	2
1901	55	male	white	6500	HS diploma	60	40	3	3
1521	24	female	white	7500	BA	40	55	0	2
1557	58	male	white	7500	graduate degree	55	49	6	2
1803	44	male	white	7500	no HS diploma	65	36	6	1
415	24	female	white	9000	AA	40	34	0	2
1920	43	male	white	9000	HS diploma	58	17	0	2
551	50	female	other	11250	HS diploma	41	32	2	2
1231	35	male	other	11250	HS diploma	50	50	3	2
85	60	male	other	11250	no HS diploma	40	24	3	3
1234	35	female	other	11250	no HS diploma	40	38	4	2
411	33	male	other	11250	no HS diploma	80	38	5	2
884	26	female	white	11250	HS diploma	43	29	1	3
1944	24	male	white	11250	HS diploma	56	40	0	2
1280	45	male	white	11250	HS diploma	40	51	2	1
784	53	male	white	11250	no HS diploma	40	33	3	1
1147	25	female	black	13750	HS diploma	56	51	3	1
1830	35	female	other	13750	HS diploma	35	31	4	2
449	40	male	other	13750	no HS diploma	60	36	6	1
606	34	male	other	13750	no HS diploma	50	39	4	2
828	39	female	white	13750	AA	35	19	3	3
518	54	female	white	13750	BA	35	36	3	3
1586	53	male	white	13750	HS diploma	40	23	2	1
610	47	female	white	13750	HS diploma	40	36	1	2
1281	54	male	white	13750	HS diploma	60	39	1	2
1570	44	female	white	13750	HS diploma	40	51	2	2
756	27	male	white	13750	no HS diploma	56	39	0	2
1074	38	male	black	16250	HS diploma	40	33	2	2
1180	53	female	black	16250	HS diploma	37	47	2	2
1229	33	male	other	16250	BA	40	32	3	1
2011	41	female	white	16250	AA	40	36	3	3
1233	37	female	white	16250	graduate degree	50	57	2	1
1022	49	male	white	16250	HS diploma	44	24	7	2
487	50	female	white	16250	HS diploma	58	28	1	2
1245	30	male	white	16250	HS diploma	40	33	4	2
678	31	male	white	16250	no HS diploma	40	35	0	2
1347	31	female	black	18750	AA	50	36	2	2
570	64	male	black	18750	HS diploma	47	51	8	1
366	38	female	other	18750	HS diploma	36	34	2	2
404	33	male	white	18750	AA	80	54	2	1
1631	55	female	white	18750	HS diploma	40	42	3	2
1829	35	female	white	18750	HS diploma	36	51	1	2
1717	55	female	white	18750	no HS diploma	40	35	3	2
866	40	male	white	18750	no HS diploma	40	62	2	2
395	28	female	black	21250	HS diploma	42	31	1	2
1058	26	female	white	21250	BA	40	51	0	2
717	47	female	white	21250	graduate degree	40	55	2	4
1616	47	male	white	21250	HS diploma	40	24	3	3
1917	53	female	white	21250	HS diploma	40	31	4	4
1082	65	female	white	21250	HS diploma	40	31	2	2
34	66	female	white	21250	HS diploma	38	33	2	1
264	46	male	white	21250	HS diploma	48	40	0	2
805	46	female	white	21250	HS diploma	40	57	0	2
1772	53	female	white	21250	HS diploma	40	60	2	1
162	50	male	white	21250	no HS diploma	56	22	2	2
1645	31	male	white	21250	no HS diploma	40	34	2	2
2005	38	male	black	23750	AA	40	31	0	4
580	33	male	black	23750	AA	40	50	4	2
353	45	male	black	23750	BA	45	33	1	2
1253	45	female	black	23750	HS diploma	45	17	3	1
1086	37	male	black	23750	HS diploma	40	36	2	2
681	45	female	black	23750	HS diploma	40	42	3	2
1144	37	male	black	23750	HS diploma	43	69	0	1
418	49	male	white	23750	AA	40	51	4	2
614	34	male	white	23750	BA	40	30	1	2
658	34	male	white	23750	BA	40	61	0	2
1752	41	female	white	23750	BA	40	66	4	2
1139	65	male	white	23750	graduate degree	40	51	2	2
1704	46	female	white	23750	HS diploma	40	31	2	2
1013	38	male	white	23750	HS diploma	46	33	2	1
1052	57	female	white	23750	HS diploma	40	33	2	2
1603	57	female	white	23750	HS diploma	50	34	2	2
1839	51	female	white	23750	HS diploma	50	34	1	2
1489	52	female	white	23750	HS diploma	40	35	2	2
534	25	male	white	23750	HS diploma	40	45	0	2
1746	43	female	white	23750	HS diploma	40	46	1	1
818	60	female	white	23750	HS diploma	56	46	2	1
630	59	female	white	23750	HS diploma	40	48	2	2
256	49	male	white	23750	HS diploma	52	51	3	4
1308	33	female	white	23750	HS diploma	45	51	4	2
892	48	male	white	23750	HS diploma	70	51	4	3
1756	22	male	white	23750	HS diploma	60	51	1	2
1760	55	female	white	23750	HS diploma	48	60	2	2
831	60	female	white	23750	HS diploma	45	68	4	2
1417	50	male	white	23750	no HS diploma	60	23	5	2
1579	54	male	white	23750	no HS diploma	37	32	2	3
529	27	female	black	27500	BA	40	52	1	2
1118	50	male	black	27500	HS diploma	46	30	8	2
1182	36	female	black	27500	HS diploma	50	40	2	2
1211	43	male	black	27500	no HS diploma	40	30	6	2
1446	49	male	other	27500	HS diploma	40	49	2	2
161	49	female	other	27500	no HS diploma	40	28	4	2
935	51	male	white	27500	AA	45	27	2	2
1642	47	male	white	27500	AA	40	29	1	2
845	26	female	white	27500	AA	40	36	2	2
1601	56	male	white	27500	HS diploma	40	22	2	2
1409	40	male	white	27500	HS diploma	40	24	1	3
182	56	female	white	27500	HS diploma	40	24	3	2
842	31	female	white	27500	HS diploma	40	31	2	2
1487	52	female	white	27500	HS diploma	41	32	0	2
236	63	male	white	27500	HS diploma	40	33	3	1
1033	51	female	white	27500	HS diploma	40	35	5	2
2022	54	female	white	27500	HS diploma	42	36	2	2
1574	47	female	white	27500	HS diploma	60	36	3	2
