"Hotel_Address" "Hotel_Name" "lat" "lng" "Average_Score" "Total_Number_of_Reviews" "Negative_Word_Counts" "Positive_Word_Counts" "Number_of_Reviews_by_Reviewer" "Proportion_Postive" "Proportion_Negative"
"1" " s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands" "Hotel Arena" 52.3605759 4.9159683 7.7 1403 30.8 23.6395061728395 5.97777777777778 0.94320987654321 0.775308641975309
"2" "1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom" "K K Hotel George" 51.4918878 -0.1949706 8.5 1831 18.404593639576 20.6201413427562 8.05123674911661 0.939929328621908 0.742049469964664
"3" "1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom" "Apex Temple Court Hotel" 51.5137335 -0.1087512 9.2 2619 11.9913211186114 19.6923818707811 6.90453230472517 0.964320154291225 0.649951783992285
"4" "1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom" "The Park Grand London Paddington" 51.5142184 -0.1809032 7.7 4380 21.883615819209 15.4186440677966 4.96610169491525 0.892655367231638 0.802824858757062
"5" "1 3 Rue d Argentine 16th arr 75116 Paris France" "Monhotel Lounge SPA" 48.8743481 2.2897334 8.4 171 15.1142857142857 31.9142857142857 7.74285714285714 0.942857142857143 0.628571428571429
"6" "1 5 Passage Ruelle 18th arr 75018 Paris France" "Kube Hotel Ice Bar" 48.88657 2.3588332 7.2 197 38.7894736842105 15.2631578947368 8.94736842105263 0.842105263157895 0.947368421052632
"7" "1 8 Russell Square Camden London WC1B 5BE United Kingdom" "The Principal London" 51.5226217 -0.1251602 8 3150 20.6645614035088 16.2238596491228 5.85263157894737 0.925614035087719 0.762105263157895
"8" "1 Addington Street Lambeth London SE1 7RY United Kingdom" "Park Plaza County Hall London" 51.5014001 -0.1160092 8.4 6117 20.6216824111561 17.0832208726946 5.23346828609986 0.915879442195232 0.777327935222672
"9" "1 Aldwych Westminster Borough London WC2B 4BZ United Kingdom" "One Aldwych" 51.5117832 -0.1194172 9.2 259 16.2426470588235 21.2573529411765 6.63970588235294 0.933823529411765 0.661764705882353
"10" "1 Avenue Carnot 17th arr 75017 Paris France" "Splendid Etoile" 48.874707 2.2936761 8.9 486 9.43307086614173 20.9527559055118 8.46456692913386 0.952755905511811 0.598425196850394
"11" "1 Bis Rue De Vaugirard 6th arr 75006 Paris France" "Hotel Trianon Rive Gauche" 48.8487675 2.3410376 8.2 967 16.6100917431193 21.9678899082569 7.54128440366972 0.926605504587156 0.724770642201835
"12" "1 Hamilton Place Park Lane Westminster Borough London W1J 7QY United Kingdom" "InterContinental London Park Lane" 51.5038632 -0.1504132 8.5 510 16.7625 13.31875 7.05625 0.89375 0.7875
"13" "1 Impasse Marteau 18th arr 75018 Paris France" "Novotel Suites Paris Nord 18 me" 48.9015941 2.3597783 7.4 1082 28.9444444444444 13.2 4.98333333333333 0.833333333333333 0.922222222222222
"14" "1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom" "Grand Royale London Hyde Park" 51.5109945 -0.1863417 7.7 6539 22.2153482082488 15.9891818796484 5.42258282623394 0.898580121703854 0.841108857336038
"15" "1 Kensington Court Kensington and Chelsea London W8 5DL United Kingdom" "Milestone Hotel Kensington" 51.5020425 -0.1866541 9.5 209 8.08139534883721 22.406976744186 10.9883720930233 1 0.558139534883721
"16" "1 Kings Cross Road Islington London WC1X 9HX United Kingdom" "Crowne Plaza London Kings Cross" 51.5263854 -0.1136042 8.1 2312 21.1410129096326 13.9453823237339 5.48262164846077 0.905660377358491 0.798411122144985
"17" "1 Place De La Sorbonne 5th arr 75005 Paris France" "Select Hotel" 48.8483053 2.3425596 8.9 1145 16.1796875 23.30078125 7.52734375 0.9375 0.671875
"18" "1 Place Vend me 1st arr 75001 Paris France" "H tel De Vend me" 48.8668564 2.3286339 8.7 425 12.6516853932584 11.7865168539326 10.6629213483146 0.898876404494382 0.730337078651685
"19" "1 Rue De Libourne 12th arr 75012 Paris France" "Pullman Paris Centre Bercy" 48.8315204 2.3870797 8.7 1382 14.7544642857143 19.5714285714286 6.81696428571429 0.955357142857143 0.714285714285714
"20" "1 Rue Du G n ral Blaise 11th arr 75011 Paris France" "Gardette Park Hotel" 48.8610265 2.3788974 8.2 1011 17.5195530726257 21.7709497206704 9.96648044692737 0.949720670391061 0.726256983240223
"21" "1 rue Geoffroy Marie 9th arr 75009 Paris France" "Hotel Panache" 48.8732543 2.343239 8.6 371 15.7317073170732 19.6951219512195 7.95121951219512 0.98780487804878 0.670731707317073
"22" "1 Rue Sainte Opportune 1st arr 75001 Paris France" "H tel des Ducs D Anjou" 48.8598229 2.347111 7.7 552 25.537037037037 17.7314814814815 7.9537037037037 0.916666666666667 0.814814814814815
"23" "1 Rue Scribe 9th arr 75009 Paris France" "Hotel Scribe Paris Opera by Sofitel" 48.8704175 2.3296832 8.6 705 14.5111111111111 17.1037037037037 7.14074074074074 0.933333333333333 0.718518518518519
"24" "1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom" "Novotel London West" 51.4919588 -0.2200956 8.3 2443 20.1465315666407 15.23226812159 4.90101325019486 0.906469212782541 0.766952455183164
"25" "1 Suffolk Place Westminster Borough London SW1Y 4HX United Kingdom" "Haymarket Hotel" 51.5084595 -0.1311382 9.6 255 13.5289256198347 20.0661157024793 8.6198347107438 0.958677685950413 0.685950413223141
"26" "1 Waterview Drive Greenwich London SE10 0TW United Kingdom" "Intercontinental London The O2" 51.5024348 -0.0002497 9.4 4204 15.9117992943944 19.7847902783222 3.66130929047432 0.951783614268914 0.720893767150137
"27" "10 12 rue Cognacq Jay 7th arr 75007 Paris France" "H tel Juliana Paris" 48.8619373 2.3040298 8.6 577 19.8343195266272 17.4201183431953 7.94082840236686 0.911242603550296 0.715976331360947
"28" "10 12 rue de Charonne 11th arr 75011 Paris France" "Hotel L Antoine" 48.8524215 2.3743832 8.9 796 10.953216374269 25.6666666666667 10.2163742690058 0.970760233918129 0.695906432748538
"29" "10 avenue Carnot 17th arr 75017 Paris France" "Belfast" 48.8756435 2.2938788 7.7 337 12.9418604651163 20.593023255814 7.37209302325581 0.941860465116279 0.790697674418605
"30" "10 Avenue D I na 16th arr 75016 Paris France" "Shangri La Hotel Paris" 48.8637135 2.2934759 9.3 174 14.7608695652174 18.2826086956522 8.71739130434783 0.869565217391304 0.608695652173913
"31" "10 Avenue Emile Zola 15th arr 75015 Paris France" "Mercure Paris Tour Eiffel Pont Mirabeau" 48.8460269 2.2788281 8 259 19 17.9285714285714 5.88571428571429 0.8 0.828571428571429
"32" "10 Beaufort Gardens Kensington and Chelsea London SW3 1PT United Kingdom" "Knightsbridge Hotel" 51.4980052 -0.1643238 9.1 473 13.6531791907514 14.3815028901734 5.8728323699422 0.965317919075145 0.624277456647399
"33" "10 Berners Street Westminster Borough London W1T 3NP United Kingdom" "The London EDITION" 51.5167472 -0.135965 9.1 372 15.5035460992908 15.0851063829787 7.73049645390071 0.957446808510638 0.709219858156028
"34" "10 Bina Gardens South Kensington Kensington and Chelsea London SW5 0LA United Kingdom" "The Cranley Hotel" 51.4916378 -0.1832833 7.8 388 29.8625 16.88125 8.76875 0.89375 0.83125
"35" "10 Bis rue du D barcad re 17th arr 75017 Paris France" "Hotel Le 10 BIS" 48.8780363 2.2864907 9.2 196 6.48979591836735 20.6938775510204 7.18367346938776 0.959183673469388 0.551020408163265
"36" "10 Carlisle Street Westminster Borough London W1D 3BR United Kingdom" "The Nadler Soho" 51.5147387 -0.1341108 9 1394 12.0386965376782 20.8207739307536 6.67006109979633 0.965376782077393 0.670061099796334
"37" "10 Godliman Street City of London London EC4V 5AJ United Kingdom" "Grange St Paul s Hotel" 51.5127625 -0.0997157 8.5 2635 22.4332755632582 15.1611785095321 5.18977469670711 0.911611785095321 0.792894280762565
"38" "10 Harrington Road Kensington and Chelsea London SW7 3ER United Kingdom" "The Ampersand Hotel" 51.4943077 -0.1755579 9.1 902 14.4973821989529 19.8141361256544 6.43979057591623 0.955497382198953 0.672774869109948
"39" "10 Monmouth Street Camden London WC2H 9HB United Kingdom" "Covent Garden Hotel" 51.5145986 -0.1270336 9.4 158 14.0675675675676 21.8783783783784 7.45945945945946 0.959459459459459 0.635135135135135
"40" "10 Palace Place Westminster Borough London SW1E 5BW United Kingdom" "The Nadler Victoria" 51.4990259 -0.1427453 9.3 1608 11.2279534109817 21.9600665557404 7.58236272878536 0.966722129783694 0.67720465890183
"41" "10 Pepys Street City of London London EC3N 2NR United Kingdom" "Novotel London Tower Bridge" 51.5106538 -0.0773676 8.6 1082 16.8020565552699 13.5372750642674 4.96915167095116 0.90745501285347 0.740359897172236
"42" "10 Place De La R publique 11th arr 75011 Paris France" "Crowne Plaza Paris R publique" 48.8673199 2.3656296 8 1053 16.4433962264151 13.3490566037736 6.29716981132075 0.910377358490566 0.80188679245283
"43" "10 Place De Mexico 16th arr 75016 Paris France" "Le Metropolitan a Tribute Portfolio Hotel" 48.8656973 2.2829776 8.3 286 17.6060606060606 18.9242424242424 7.10606060606061 0.848484848484849 0.742424242424242
"44" "10 rue Chateaubriand 8th arr 75008 Paris France" "Atala Champs Elys es" 48.8735418 2.302442 8.2 123 16.4827586206897 12.7931034482759 6.10344827586207 0.931034482758621 0.758620689655172
"45" "10 rue d Ormesson 4th arr 75004 Paris France" "H tel de Jos phine BONAPARTE" 48.8555319 2.3621212 9 240 10.7894736842105 26.7368421052632 6.77631578947368 0.960526315789474 0.631578947368421
"46" "10 rue de Bruxelles 9th arr 75009 Paris France" "Maison Souquet" 48.88366 2.3313845 9.3 282 10.2197802197802 25.4065934065934 5.32967032967033 0.956043956043956 0.494505494505495
"47" "10 Rue de la Tour d Auvergne 9th arr 75009 Paris France" "Hotel Tour d Auvergne Opera" 48.8789432 2.3448623 8.3 164 29.64 18.72 7.36 0.96 0.88
"48" "10 rue de Vaugirard 6th arr 75006 Paris France" "Le Senat" 48.8491427 2.3397118 8.3 549 12.825 17.3416666666667 9.64166666666667 0.941666666666667 0.733333333333333
"49" "10 Rue Gabriel Laumain 10th arr 75010 Paris France" "Windsor Opera" 48.8734851 2.3485111 8.3 168 16.0294117647059 12.9705882352941 6.73529411764706 0.882352941176471 0.588235294117647
"50" "10 rue Gager Gabillot 15th arr 75015 Paris France" "Holiday Inn Paris Montparnasse Pasteur" 48.8376887 2.3063102 7.1 344 37.972972972973 11.8378378378378 4.62162162162162 0.864864864864865 0.864864864864865
"51" "10 Rue Kepler 16th arr 75016 Paris France" "H tel Keppler" 48.8699103 2.2973386 9.1 338 9.54736842105263 18.0105263157895 6.47368421052632 0.978947368421053 0.663157894736842
"52" "10 rue Lamartine 9th arr 75009 Paris France" "Les Plumes Hotel" 48.8766269 2.3432886 8.8 514 18.0619469026549 26.8761061946903 10.0265486725664 0.946902654867257 0.734513274336283
"53" "10 rue Saint Hyacinthe 1st arr 75001 Paris France" "Hotel des Tuileries Relais du Silence" 48.8661705 2.331561 8.1 446 23.0659340659341 16.010989010989 6.84615384615385 0.934065934065934 0.714285714285714
"54" "10 rue Saint Philippe du Roule 8th arr 75008 Paris France" "Bradford Elys es Astotel" 48.8729676 2.3081178 9.1 234 11.6219512195122 27.5731707317073 6.73170731707317 0.963414634146341 0.597560975609756
"55" "10 Wardour Street Leicester Square Westminster Borough London W1D 6QF United Kingdom" "W London Leicester Square" 51.510843 -0.1314287 8.4 863 27.3258426966292 15.2621722846442 4.39325842696629 0.883895131086142 0.831460674157303
"56" "10 West Temple Sheen London SW14 7RT United Kingdom" "The Victoria" 51.4611219 -0.2756216 8.3 272 24.0740740740741 19.3518518518519 8.07407407407407 0.969135802469136 0.827160493827161
"57" "100 110 Euston Road Camden London NW1 2AJ United Kingdom" "Pullman London St Pancras" 51.5286766 -0.1283489 8.9 3168 14.5676328502415 16.6014492753623 7.06602254428341 0.934782608695652 0.706924315619968
"58" "100 Cromwell Road Kensington and Chelsea London SW7 4ER United Kingdom" "Crowne Plaza London Kensington" 51.495179 -0.183827 8.7 743 15.8590163934426 19.5934426229508 7.11147540983607 0.940983606557377 0.695081967213115
"59" "100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom" "Doubletree by Hilton London Kensington" 51.4925138 -0.1787917 8 2367 23.5262636273538 13.9454905847374 6.26560951437066 0.913776015857284 0.805748265609514
"60" "100 Shoreditch High Street Hackney London E1 6JQ United Kingdom" "Ace Hotel London Shoreditch" 51.5254162 -0.0772849 8.6 1593 19.9260700389105 19.1322957198444 6.68287937743191 0.953307392996109 0.715953307392996
"61" "100 Vauxhall Walk Lambeth London SE11 5AL United Kingdom" "Staybridge Suites London Vauxhall" 51.4891226 -0.1205639 9.2 742 8.87295081967213 24.0901639344262 9.40163934426229 0.987704918032787 0.631147540983607
"62" "101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom" "The Grosvenor" 51.4956657 -0.1452793 8.4 3274 21.4396835860251 16.3915622940013 5.38694792353329 0.930784442979565 0.792353328938695
