price	bedrooms	bathrooms	sqft_living	sqft_lot	floors	waterfront	view	condition	grade	sqft_above	sqft_basement	yr_built	yr_renovated	zipcode	lat	long	sqft_living15	sqft_lot15
323000	3	2.5	1890	6560	2	0	0	3	7	1890	0	2003	0	98038	47.3684	-122.031	2390	7570
360000	4	2.5	2380	5000	2	0	0	3	8	2380	0	2005	0	98038	47.3608	-122.036	2420	5000
390000	3	2.5	2350	5100	2	0	0	3	8	2350	0	2003	0	98038	47.3512	-122.008	2350	5363
360000	4	2.5	1900	5889	2	0	0	3	7	1900	0	1992	0	98038	47.349	-122.031	1870	6405
314000	3	1.75	1810	41800	1	0	0	5	7	1210	600	1980	0	98038	47.4109	-121.958	1650	135036
272500	3	1.75	1540	12600	1	0	0	4	7	1160	380	1980	0	98038	47.3624	-122.031	1540	11656
163500	2	1.5	1050	3419	2	0	0	3	7	1050	0	1996	0	98038	47.3848	-122.039	1050	3417
385000	3	1.75	1350	155073	1	0	0	4	7	1350	0	1969	0	98038	47.4058	-121.994	1560	50965
320000	4	2.25	1550	7579	2	0	0	3	8	1550	0	1993	0	98038	47.354	-122.047	1630	6397
328000	3	2.25	2020	8379	2	0	0	3	7	2020	0	1994	0	98038	47.3828	-122.023	2020	8031
455000	4	2.5	2210	49375	1	0	0	3	8	2210	0	1997	0	98038	47.3828	-122.071	2670	49385
208633	3	2.5	2040	3810	2	0	0	3	8	2040	0	2006	0	98038	47.3537	-122	2370	4590
260000	4	2.5	1960	5238	2	0	0	3	7	1960	0	2003	0	98038	47.3483	-122.052	1800	5894
300000	4	2.5	1910	4862	2	0	0	3	7	1910	0	2005	0	98038	47.3607	-122.034	2010	5091
329500	4	2.5	1820	7912	2	0	0	3	7	1820	0	1994	0	98038	47.3845	-122.029	1820	8168
275000	3	3	1590	7750	1	0	0	3	7	1060	530	1997	0	98038	47.3624	-122.045	1680	7500
322500	4	2.5	1820	6753	2	0	0	3	7	1820	0	1994	0	98038	47.3845	-122.032	1820	7107
840000	4	3.5	2840	40139	1	0	4	4	10	2840	0	1986	0	98038	47.401	-122.026	3180	36852
245000	3	2.5	1530	8500	1	0	0	5	7	1030	500	1996	0	98038	47.3592	-122.046	1850	8140
350000	3	1.5	1250	219978	1	0	0	4	6	1250	0	1980	0	98038	47.4056	-121.955	1930	210394
232000	3	1	1400	10403	1	0	0	4	6	1400	0	1976	0	98038	47.362	-122.029	1230	10209
342500	3	2.5	1810	5192	2	0	0	3	8	1810	0	1993	0	98038	47.3724	-122.042	1810	6200
270500	3	2.5	1780	7848	1	0	0	3	7	1320	460	1978	0	98038	47.3608	-122.056	1680	7848
338900	4	2.5	1830	5612	2	0	0	3	7	1830	0	2003	0	98038	47.3572	-122.015	1830	5998
300000	2	1	1220	75794	1	0	0	4	7	1220	0	1963	0	98038	47.4219	-122.007	2010	98010
370000	3	2.25	2110	13300	2	0	0	4	8	2110	0	1985	0	98038	47.3725	-122.06	2470	14000
296000	4	2.5	1780	3600	2	0	0	3	7	1780	0	2006	0	98038	47.3665	-122.017	2020	3802
