Gender	Genre	Score
F	Action	1
F	Action	1
F	Action	1
F	Action	1
F	Action	2
F	Action	2
F	Action	2
F	Action	2
F	Action	2
F	Action	2
F	Action	3
F	Action	3
F	Action	3
F	Action	3
F	Action	3
F	Action	3
F	Action	3
F	Action	3
F	Action	3
F	Action	4
F	Action	4
F	Action	4
F	Action	4
F	Action	4
F	Action	4
F	Action	4
F	Action	4
F	Action	4
F	Action	5
F	Action	5
F	Action	5
F	Action	5
F	Action	5
F	Action	5
F	Action	5
F	Action	6
F	Action	6
F	Action	6
F	Action	6
F	Comedy	2
F	Comedy	2
F	Comedy	2
F	Comedy	2
F	Comedy	3
F	Comedy	3
F	Comedy	3
F	Comedy	3
F	Comedy	3
F	Comedy	3
F	Comedy	3
F	Comedy	4
F	Comedy	4
F	Comedy	4
F	Comedy	4
F	Comedy	4
F	Comedy	4
F	Comedy	4
F	Comedy	4
F	Comedy	4
F	Comedy	4
F	Comedy	4
F	Comedy	4
F	Comedy	4
F	Comedy	4
F	Comedy	5
F	Comedy	5
F	Comedy	5
F	Comedy	5
F	Comedy	5
F	Comedy	6
F	Comedy	6
F	Comedy	6
F	Drama	2
F	Drama	2
F	Drama	3
F	Drama	3
F	Drama	3
F	Drama	3
F	Drama	3
F	Drama	3
F	Drama	3
F	Drama	4
F	Drama	4
F	Drama	4
F	Drama	4
F	Drama	5
F	Drama	5
F	Drama	5
F	Drama	6
F	Drama	6
F	Drama	6
F	Drama	6
F	Drama	6
F	Drama	6
M	Action	0
M	Action	3
M	Action	4
M	Action	4
M	Action	4
M	Action	4
M	Action	4
M	Action	4
M	Action	4
M	Action	4
M	Action	4
M	Action	4
M	Action	5
M	Action	5
M	Comedy	3
M	Comedy	3
M	Comedy	3
M	Comedy	4
M	Comedy	4
M	Comedy	4
M	Comedy	5
M	Comedy	6
M	Comedy	6
M	Comedy	6
M	Drama	2
M	Drama	2
M	Drama	3
M	Drama	3
M	Drama	4
M	Drama	4
M	Drama	4
M	Drama	4
M	Drama	5
M	Drama	5
M	Drama	5
M	Drama	5
M	Drama	6
M	Drama	6
M	Drama	6
M	Drama	6
M	Drama	6
M	Drama	6
M	Drama	6
